,Depreciable capital [MM$],Fixed capital investment [MM$],Working capital [MM$],Depreciation [MM$],Loan [MM$],Loan interest payment [MM$],Loan payment [MM$],Loan principal [MM$],Annual operating cost (excluding depreciation) [MM$],Sales [MM$],Tax [MM$],Incentives [MM$],Taxed earnings [MM$],Forwarded losses [MM$],Net earnings [MM$],Cash flow [MM$],Discount factor,Net present value (NPV) [MM$],Cumulative NPV [MM$],,
2013,94.80305207,101.1232555,0,0,60.67395333,4.853916266,0,60.67395333,0,0,0,0,0,0,0,-45.30321848,1.21,-54.81689437,-54.81689437,,
2014,711.0228906,758.4244166,0,0,455.05465,36.404372,0,515.7286033,0,0,0,0,0,0,0,-339.7741386,1.1,-373.7515525,-428.5684469,,
2015,379.2122083,404.4930222,63.20203472,0,242.6958133,19.41566506,0,758.4244166,0,0,0,0,0,0,0,-244.4149087,1,-244.4149087,-672.9833555,0,
2016,0,0,0,145.9564202,0,60.67395333,113.027603,706.0707669,483.0012368,584.4293217,0,0,0,0,-157.5559383,-11.59951811,0.909090909,-10.54501647,-683.528372,-10.54501647,
2017,0,0,0,251.895965,0,56.48566135,113.027603,649.5288252,511.642592,667.9192248,0,0,0,-157.5559383,-208.6469353,43.24902979,0.826446281,35.74299983,-647.7853722,25.19798336,
2018,0,0,0,183.2719247,0,51.96230602,113.027603,588.4635282,511.642592,667.9192248,0,0,0,-366.2028736,-140.0228949,43.24902979,0.751314801,32.49363621,-615.2917359,57.69161957,
2019,0,0,0,134.0043523,0,47.07708226,113.027603,522.5130075,511.642592,667.9192248,0,0,0,-506.2257685,-90.75532248,43.24902979,0.683013455,29.53966928,-585.7520667,87.23128885,
2020,0,0,0,98.68621665,0,41.8010406,113.027603,451.286445,511.642592,667.9192248,0,0,0,-596.981091,-55.43718686,43.24902979,0.620921323,26.8542448,-558.8978219,114.0855336,
2021,0,0.235565225,0,97.64027904,0,36.1029156,113.027603,374.3617576,511.642592,667.9192248,0,0,0,-652.4182779,-54.39124925,43.01346457,0.56447393,24.27997939,-534.6178425,138.365513,
2022,0,0,0,96.85575522,0,29.94894061,113.027603,291.2830952,511.642592,667.9192248,0,0,0,-706.8095271,-53.60672542,43.24902979,0.513158118,22.19359074,-512.4242517,160.5591038,
2023,0,0,0,52.99026348,0,23.30264762,113.027603,201.5581398,511.642592,667.9192248,0,0,0,-760.4162525,-9.74123369,43.24902979,0.46650738,20.17599158,-492.2482602,180.7350954,
2024,0,0,0,9.900022937,0,16.12465119,113.027603,104.655188,511.642592,667.9192248,0,0,0,-770.1574862,33.34900685,43.24902979,0.424097618,18.34181053,-473.9064496,199.0769059,
2025,0,0,0,9.897804196,0,8.372415039,113.027603,6.98492E-13,511.642592,667.9192248,0,0,0,-736.8084794,33.3512256,43.24902979,0.385543289,16.67437321,-457.2320764,215.7512791,
2026,0,0.235565225,0,9.900022937,0,0,0,0,511.642592,667.9192248,0,0,0,-703.4572538,146.3766099,156.0410676,0.350493899,54.69144226,-402.5406342,270.4427214,
2027,0,0,0,9.897804196,0,0,0,0,511.642592,667.9192248,0,0,0,-557.0806439,146.3788286,156.2766328,0.318630818,49.7945513,-352.7460829,320.2372727,
2028,0,0,0,9.900022937,0,0,0,0,511.642592,667.9192248,0,0,0,-410.7018153,146.3766099,156.2766328,0.28966438,45.26777391,-307.4783089,365.5050466,
2029,0,0,0,9.897804196,0,0,0,0,511.642592,667.9192248,0,0,0,-264.3252054,146.3788286,156.2766328,0.263331254,41.15252174,-266.3257872,406.6575683,146.3766099
2030,0,0,0,9.900022937,0,0,0,0,511.642592,667.9192248,5.970348946,0,28.43023308,-117.9463768,140.4062609,150.3062839,0.239392049,35.98212933,-230.3436579,442.6396976,
2031,0,0.235565225,0,9.897804196,0,0,0,0,511.642592,667.9192248,30.73955401,0,146.3788286,0,115.6392746,125.3015136,0.217629136,27.26926011,-203.0743978,469.9089578,
2032,0,0,0,9.900022937,0,0,0,0,511.642592,667.9192248,30.73908807,0,146.3766099,0,115.6375218,125.5375447,0.197844669,24.83693397,-178.2374638,494.7458917,
2033,0,0,0,9.897804196,0,0,0,0,511.642592,667.9192248,30.73955401,0,146.3788286,0,115.6392746,125.5370788,0.17985879,22.57894708,-155.6585167,517.3248388,
2034,0,0,0,9.900022937,0,0,0,0,511.642592,667.9192248,30.73908807,0,146.3766099,0,115.6375218,125.5375447,0.163507991,20.52639171,-135.132125,537.8512305,
2035,0,0,0,9.897804196,0,0,0,0,511.642592,667.9192248,30.73955401,0,146.3788286,0,115.6392746,125.5370788,0.148643628,18.66028684,-116.4718381,556.5115174,
2036,0,0.235565225,0,4.950011469,0,0,0,0,511.642592,667.9192248,31.77859048,0,151.3266213,0,119.5480309,124.2624771,0.135130571,16.79165948,-99.68017867,573.3031768,
2037,0,0,0,0,0,0,0,0,511.642592,667.9192248,32.81809289,0,156.2766328,0,123.4585399,123.4585399,0.122845974,15.16638453,-84.51379414,588.4695614,
