,Depreciable capital [MM$],Fixed capital investment [MM$],Working capital [MM$],Depreciation [MM$],Loan [MM$],Loan interest payment [MM$],Loan payment [MM$],Loan principal [MM$],Annual operating cost (excluding depreciation) [MM$],Sales [MM$],Tax [MM$],Incentives [MM$],Taxed earnings [MM$],Forwarded losses [MM$],Net earnings [MM$],Cash flow [MM$],Discount factor,Net present value (NPV) [MM$],Cumulative NPV [MM$],,,
2013,103.4334582,110.3290221,0,0,66.19741323,5.295793059,0,66.19741323,0,0,0,0,0,0,0,-49.42740188,1.21,-59.80715627,-59.80715627,,,
2014,775.7509363,827.4676654,0,0,496.4805992,39.71844794,0,562.6780125,0,0,0,0,0,0,0,-370.7055141,1.1,-407.7760655,-467.5832218,,,
2015,413.7338327,441.3160882,68.95563878,0,264.7896529,21.18317223,0,827.4676654,0,0,0,0,0,0,0,-266.6652463,1,-266.6652463,-734.2484681,0,,
2016,0,0,0,160.6474353,0,66.19741323,123.3170831,770.3479955,525.2678356,636.1614592,0,0,0,0,-173.0708947,-12.42345939,0.909090909,-11.29405399,-745.5425221,-11.29405399,,
2017,0,0,0,277.1277217,0,61.62783964,123.3170831,708.6587521,556.5746669,727.0416677,0,0,0,-173.0708947,-229.977804,47.14991773,0.826446281,38.96687416,-706.5756479,27.67282016,,
2018,0,0,0,201.3963226,0,56.69270017,123.3170831,642.0343692,556.5746669,727.0416677,0,0,0,-403.0486987,-154.2464049,47.14991773,0.751314801,35.42443105,-671.1512169,63.09725121,,
2019,0,0,0,147.0443018,0,51.36274953,123.3170831,570.0800356,556.5746669,727.0416677,0,0,0,-557.2951036,-99.8943841,47.14991773,0.683013455,32.20402823,-638.9471886,95.30127944,,
2020,0,0,0,108.0986097,0,45.60640285,123.3170831,492.3693554,556.5746669,727.0416677,0,0,0,-657.1894877,-60.94869195,47.14991773,0.620921323,29.2763893,-609.6707993,124.5776687,,
2021,0,0.236430414,0,107.0131298,0,39.38954843,123.3170831,408.4418207,556.5746669,727.0416677,0,0,0,-718.1381796,-59.86321206,46.91348731,0.56447393,26.48144056,-583.1893588,151.0591093,,160.2600364
2022,0,0,0,106.2113964,0,32.67534566,123.3170831,317.8000833,556.5746669,727.0416677,0,0,0,-778.0013917,-59.06147867,47.14991773,0.513158118,24.19536306,-558.9939957,175.2544724,,
