Element,Overall,,,,,,,,RCF,,,,,,,,,,,,,HDO,,,,,EHF,,,,,Cellulosic ethanol,EHF,,OP,,MP,,TEA
Feature,Operating days [days],Poplar feedstock price [USD/DMT],Labor cost [USD/yr],Electricity cost [USD/kWh],RN co-product credit [USD/kg],RD co-product credit [USD/kg],Hydrogen price [USD/kg],Hydrogen storage period [days],Solvolysis reactor pressure [Pa],Solvolysis reaction time [hr],Solvolysis residence time [hr],Solvolysis cleaning time [hr],Methanol cost [USD/kg],RCF solvent losses [-],RCF catalyst price [USD/kg],RCF catalyst lifetime [months],RCF catalyst loading [kg/kg-biomass],Cellulose retention [%],Xylose retention [%],Delignfication [%],Condensation extent [%],HDO reaction time [hr],HDO solvent loading [m3/kg monomer],HDO catalyst loading [kg/kg monomer],HDO catalyst lifetime [months],Dodecane cost [USD/kg],Glucose to ethanol conv. [-],Glucan to glucose conv. [-],Saccharification residence time [hr],Cofermentation residence time [hr],Xylose to ethanol conv. [-],Xylan to xylose conversion [-],Cellulase enzyme loading [wt%],Cellulase price [USD/kg],Et oac solvent to crude ratio [L/kg],Ethyl acetate price [USD/kg],Hexane solvent to pure oil ratio [kg/kg],Hexane price [USD/kg],Minimum jet selling price [USD/gal]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,301.942171,91.6780871,10743533.14,0.099143137,0.666920533,1.164035233,8.114973696,0.428133435,6695259.669,2.676017676,0.485204111,2.889130306,0.338565945,0.039723365,25.92158266,16.17322223,0.07311634,0.853607689,0.733943771,0.832665066,0.312471733,7.184509816,0.012673709,0.939359952,10.1619641,0.12190715,0.892347448,0.870188143,63.52276431,35.98395323,0.822663055,0.8204605,0.032261878,0.365451021,7.510267029,0.476280679,3.519850136,0.670760794,20.48655814
1,297.8805178,50.3020758,26085017.45,0.14618761,0.674395039,0.923929924,7.56997394,0.750614479,7276813.598,1.867125289,0.334167083,3.27283593,0.313870295,0.018781509,20.44878907,7.094582634,0.066201896,0.89162197,0.679535074,0.510485529,0.371178192,3.106803352,0.069359785,0.951471989,4.224698899,0.367855055,0.927370772,0.857358711,71.31436611,35.91950121,0.889378062,0.848201683,0.033616685,0.568775345,8.423381679,0.68838665,4.458852563,1.715698523,29.24674689
2,308.5851528,86.39129523,10464963.61,0.111938495,0.766458798,1.184760997,3.448563604,2.475404282,8323724.939,1.490563939,0.261699625,3.901847053,0.301642705,0.083995413,42.06128381,21.0848705,0.135256106,0.854667502,0.286864599,0.713015017,0.004175865,3.904110162,0.043237145,0.402551921,9.154638655,0.554177547,0.932301201,0.898716028,59.87641831,39.19233658,0.813804811,0.819762289,0.014956227,0.571027977,9.837158061,0.798032454,1.780024787,1.367981579,28.12009619
3,298.1105417,78.13915813,20860972.09,0.088218042,0.693361436,0.909425995,5.017973847,1.231590033,7628702.739,2.927965837,0.299987166,3.645545247,0.305566061,0.044426477,30.36392208,18.31438354,0.063640391,0.894475545,0.731183303,0.567751531,0.319660505,4.332308044,0.056745738,0.704838472,6.855289039,0.187459439,0.801761376,0.870375983,53.97240942,32.86100882,0.858455733,0.858730635,0.040973884,0.218642367,7.44968007,0.622236836,2.515028164,1.114523377,29.46880693
4,308.4041408,63.74506024,21728680.14,0.083834247,0.56507141,0.822070077,3.778014898,1.106148817,7793650.695,1.168322906,0.49086538,2.153087853,0.383291268,0.0624265,44.30395797,9.654085788,0.116782502,0.812710104,0.84492549,0.476798584,0.348822058,2.318664676,0.063992549,0.422524204,1.091392945,0.383960824,0.88978048,0.807590998,70.53508598,39.04833181,0.860190611,0.805800846,0.026112609,0.557632398,7.85468304,0.655786354,4.086171598,1.264830839,23.93951252
5,318.5731291,58.91203449,13158013.38,0.168988438,0.547847341,1.474887545,5.050251473,1.183633483,8150201.803,2.533355137,0.173680645,3.07943128,0.362375438,0.099416333,52.9085233,8.864202854,0.096582156,0.984150335,0.567391649,0.75172396,0.270291908,3.991585452,0.031754139,0.854940719,7.666652712,0.493124337,0.905665765,0.839118468,50.33893856,29.98188112,0.829919314,0.8744057,0.0126352,0.427708179,9.900719632,0.78879794,2.444742789,0.674733951,32.08741943
6,315.9416374,90.68697736,18782326.97,0.137414635,0.5788616,1.090531507,6.676433275,0.25819083,7528421.943,3.940645432,0.217501049,2.599752575,0.326714989,0.079554568,48.74968414,9.44265554,0.141581359,0.917108321,0.69299479,0.795272292,0.56068806,6.952337733,0.036715872,1.165427045,8.706180509,0.725214661,0.879242341,0.839643476,57.88739798,37.38691826,0.858915268,0.801469714,0.023651946,0.274130197,8.20267346,0.512543473,4.436190386,1.075078498,42.05198478
7,331.3753752,72.00518842,14347183.06,0.092212472,0.524202264,0.972880164,7.144728971,0.628265679,7413563.057,2.159356375,0.369851335,2.762492246,0.327021574,0.090263856,26.68138777,9.671678267,0.110842088,0.872718828,0.24212879,0.852900925,0.497700403,7.427708982,0.01760437,0.561645066,3.930593736,0.686221013,0.847173639,0.807389415,53.98825065,37.50333582,0.891690286,0.884950073,0.046957093,0.420748709,8.834196187,0.494786544,1.959929054,1.473974748,29.96132796
8,321.4714549,98.08059067,16092133.46,0.155136839,0.52105189,1.326399902,9.601506003,1.979696696,7724551.359,2.61236276,0.371703076,0.979212601,0.33709259,0.097911847,40.07476271,20.63671462,0.0975512,0.84166409,0.486939833,0.862154574,0.561450072,6.628556545,0.020032545,0.842566618,6.62217776,0.718312036,0.912772669,0.830455823,58.14531575,42.5608907,0.812098188,0.804225064,0.01992512,0.228717779,9.414933736,0.51286793,1.329371466,0.749047185,28.35706942
9,321.939796,67.74083143,10504684.86,0.105405985,0.698703046,0.660388635,5.325732027,0.869577667,6639959.138,1.905492076,0.244184796,1.904311636,0.301564992,0.05917501,44.39509142,9.382068283,0.050021679,0.89299533,0.628004558,0.758719944,0.054621073,6.307689845,0.044775205,0.628570612,9.801763489,0.102781405,0.852336907,0.837451669,58.23293288,32.654561,0.834956882,0.890375826,0.015089609,0.315962222,9.809316046,0.750111311,4.188918292,1.091431645,23.17579071
10,334.6119333,58.53445833,21873140.74,0.162492258,0.591836653,0.987912209,4.542498371,2.859142916,6379258.762,2.429662153,0.363520893,3.337291498,0.296026325,0.005336532,47.91095614,20.48416351,0.090392163,0.915591074,0.664232635,0.623435114,0.602877895,7.729475833,0.025927763,1.001926461,3.248979275,0.201694854,0.81527222,0.818831907,55.14832054,30.98004377,0.873171554,0.897912005,0.036296199,0.281492604,9.444364272,1.104334986,1.456038339,1.608780968,28.64582098
