Feature,µ*,σ,Min µ*,Min σ,Max µ*,Max σ
Operating days,1.792073121,0.393784629,1.615685848,0.195234669,2.12457076,0.800475582
Poplar feedstock price,1.393703501,0.244692583,1.26541572,0.161318675,1.469282937,0.31619082
Labor cost,1.316181344,0.261694296,1.160000419,0.199469532,1.407080557,0.324248899
Electricity cost,0.082561321,0.040940483,0.071434644,0.026595149,0.093939545,0.069615693
RN co-product credit,0.266982341,0.061534642,0.230857936,0.027410711,0.294433396,0.106346063
RD co-product credit,0.064372825,0.057288305,0.047338539,0.015717561,0.104980236,0.159525689
Hydrogen price,2.960072212,0.413623815,2.777316857,0.277504444,3.25683827,0.584824964
Hydrogen storage period,1.153165829,0.186435486,1.031244182,0.123171277,1.306711622,0.271905223
Solvolysis reactor pressure,0.102144987,0.068972499,0.076549303,0.026248926,0.148474432,0.155479439
Solvolysis reaction time,9.260726392,5.624571008,6.499440898,3.146046787,15.44480727,8.098746499
Solvolysis residence time,14.58509983,9.404988556,10.06740981,3.650894914,22.16318514,13.90781399
Solvolysis cleaning time,3.400529626,3.25246325,1.530636722,1.512484151,5.603191224,6.396713161
Methanol cost,2.108086479,1.445442003,1.361990659,0.649629033,3.07161891,2.059629418
RCF solvent losses,2.004573793,1.591309999,1.160041254,0.972737789,3.149640789,2.164172739
RCF catalyst price,0.018141126,0.033650648,0.005167005,0.002713123,0.033663882,0.083312659
RCF catalyst lifetime,0.022665702,0.040366001,0.00403177,0.003304266,0.06063703,0.103057246
RCF catalyst loading,0.021104524,0.037310246,0.007192604,0.008766842,0.038182482,0.091185644
Cellulose retention,4.158702317,1.582334748,2.896142348,0.666742212,4.970345618,2.3555854
Xylose retention,5.359835972,2.112305562,4.633167454,0.984521053,6.070250712,2.848068909
Delignfication,1.744094416,2.061355279,1.185224988,1.544265535,3.221202577,2.919194503
Condensation extent,4.61351344,2.97631734,3.078659911,2.260178961,7.053893904,3.987633468
Water cost (control),0.024932463,0.048961757,0.008207618,0.016754876,0.070875307,0.140515265
HDO reaction time,1.016237264,0.493585294,0.766237944,0.218629058,1.306150914,0.661253997
HDO solvent loading,4.542855889,1.972824436,3.833482961,1.372990385,5.054684607,2.970634687
HDO catalyst loading,0.40265725,0.402621045,0.275131797,0.164581503,0.57005484,0.569015519
HDO catalyst lifetime,0.754996053,0.761275434,0.496039864,0.47783786,1.000783229,1.059137955
Dodecane cost,1.858651457,1.146249631,1.388224224,0.836478057,2.480677738,1.552660985
Glucose to ethanol conv.,2.475708392,0.93762691,2.108015095,0.6240149,2.960351865,1.302234255
Glucan to glucose conv.,1.991932349,0.798037911,1.499223543,0.395849806,2.356819066,1.102458795
Saccharification residence time,0.053958301,0.045147891,0.032434669,0.020578337,0.096684361,0.135276141
Cofermentation residence time,0.044560694,0.070418487,0.020290336,0.00781118,0.121644289,0.306281513
Xylose to ethanol conv.,0.267885068,0.179918368,0.22660432,0.088899044,0.33745535,0.233803712
Xylan to xylose conversion,0.331474877,0.274415033,0.244158464,0.140090254,0.486781038,0.546320619
Cellulase enzyme loading,3.625482978,1.363603382,2.570224573,0.778295924,4.456842092,1.878996054
Cellulase price,2.937184535,1.468378598,2.378165001,1.178339453,3.440355785,1.931506009
Et oac solvent to crude ratio,1.375112453,0.585865327,1.082183655,0.386166013,1.7603848,0.894367276
Ethyl acetate price,2.867959107,1.008110949,2.43392468,0.752592593,3.30681209,1.350822896
Hexane solvent to pure oil ratio,1.344730151,0.56407374,1.026702873,0.373840606,1.591507988,0.715437396
Hexane price,0.83510134,0.459962625,0.588092241,0.294786135,1.13336292,0.677562139
